Country,Best Alpha,Population_Coeff,Inflation_Coeff,Import_Coeff,Export_Coeff,Score,Export_GDP_Correlation
BDI,0.01,0.001293092738850036,-0.00038771505122902434,0.0004488003751304759,-2.1838573902411028e-07,0.8624190078876832,0.6644385813093531
BFA,0.01,0.019001887550198736,-0.002105255237425969,0.0015395766885718117,0.0018031676536279656,0.9745531272672658,0.9514620507410276
BGD,0.01,0.07591310823395483,-0.030418303895729533,0.033052467078518624,0.017734683569822537,0.9835291336403272,0.9828245154085421
BHR,0.01,0.0069917163498054375,-0.02081941276476026,0.006353506646586489,0.007328567715017395,0.9078600728375329,0.9267097749364642
BHS,0.01,0.00029054637640422076,-0.0037139873085449923,0.001492666189804577,-0.001048423056442008,0.7582233802869668,-0.676030624999671
BLZ,0.01,2.030921807559965e-05,-0.0007226885092527692,0.000656580505709188,-2.9373641339500756e-06,0.9514700724665556,0.9045175625279888
BOL,0.01,0.028381535855873496,-5.290541001887501e-05,0.011163003478362379,-0.008185941565304024,0.947047202449171,0.9084615654185887
BRA,0.01,0.7331339204458497,-0.0024016109107795392,0.09312957869045238,0.16121978328386263,0.9901275783730962,0.9675157605340544
BRB,0.01,-2.0924386484917917e-07,-0.0003629501690348564,0.0008398039487787057,-0.0007065142233411325,0.9299706277454387,0.734914474602341
BRN,0.01,0.0001717335894032795,-0.0013333516233509928,-3.496967070073542e-05,0.0012595448443800275,0.6454724476193194,0.8006496694084271
BTN,0.01,8.024659519732936e-05,-0.001570174272545321,0.0006010771882166884,0.00018802417313020702,0.9539190291978825,0.9365622092949419
BWA,0.01,0.005377246713577963,-0.010660694654394197,0.0014078498897989549,0.006589966634819824,0.8770799197644619,0.9265090120638098
CAF,0.01,0.0010822521805564853,-0.0005086197373407031,9.233721887967e-05,0.00037979963110689493,0.5784445435439789,0.6275559400711597
CHL,0.01,0.2577545199039931,-0.27145364587014825,0.031461831240695015,0.03419641449416908,0.9568478137895472,0.9535811809691458
CHN,0.01,0.748791046852104,0.22644587368638605,-1.0422799667983675,11.256921828336843,0.9716835507156075,0.9823825862315975
CIV,0.01,0.08197656922402012,-0.012128344590890688,0.009259233559075961,-0.012536752349006577,0.8578289590993201,0.8524117216635402
CMR,0.01,0.06455234633600312,-0.011120557514754437,0.007210599373565247,-0.01169554050276935,0.9285733502474854,0.7587677098412542
COD,0.01,-0.027915414270890802,-2.3267881962999418e-05,-0.0033773602191423595,0.03874264154171884,0.861897916408478,0.6942086904726241
COL,0.01,0.38045306961197817,-0.04536440274324784,0.07630865976613703,-0.07407189194465125,0.9836280421481362,0.8856244555252062
CPV,0.01,5.77969272879441e-05,-0.001779359788384706,0.00035586954685988727,0.00026301250173088863,0.940548130291702,0.890749107450125
CRI,0.01,0.00625191686251545,-0.011789818180330747,0.008502740337953538,0.012824660718887262,0.9662983603229497,0.9771364116075755
DMA,0.01,-7.751656327155537e-08,-0.00019332048399395746,0.00010233233457009115,2.5905042032860885e-05,0.9111200399604585,-0.28679901383586764
DOM,0.01,0.023240814959028185,-0.0010827576024843135,0.01436884627082754,0.02246825811943857,0.962072753119613,0.9226116692786457
DZA,0.01,0.30227597574294,-0.1005410450584353,0.022597137523063276,-0.0036625270052104896,0.9740722690375568,0.7156441277526088
ECU,0.01,0.11956542958746563,-0.002300514611128985,0.003014878183553883,0.03183008536721714,0.9353655351343294,0.9534669627677469
EGY,0.01,0.3841389082581425,-0.010795185909115601,0.017219515367747046,0.019923585109051185,0.9903212954213044,0.9237586255908
FJI,0.01,0.0001863555017684876,-0.0030110962582570997,0.0007802555900032951,-0.000310407552988828,0.8669825523646222,0.8743127164907596
GAB,0.01,0.0030070367350265173,-0.0019018084146049342,0.002974433976971106,-0.0020894606294842876,0.8550869612767878,0.6592920107566603
GHA,0.01,0.09139634803036033,-0.010859877277843894,-0.003216755400539814,0.026427976631013473,0.9800769112231305,0.9637697457165696
GMB,0.01,0.0008235010221194081,-0.00019143374219266257,0.00031213651882722936,-5.570314689336978e-05,0.8098681053551167,0.5227428711579201
GNQ,0.01,0.010558758066580989,-0.001016345081875699,0.0007422284738126386,0.004622159689580349,0.8557805554657735,0.9185235952655841
GRD,0.01,9.87798381050424e-07,-0.00030521983589677375,0.00022888659352195256,2.1248525236801643e-05,0.9738527185380881,-0.41457425676105386
GTM,0.01,0.042112098629164645,-0.009682668145098876,0.008534183600754402,0.010858722609949183,0.9731847090869399,0.9794595817552988
HKG,0.01,0.04422702014394679,-0.10213876355330044,0.010287353418053745,0.17143978697877016,0.9783246868933317,0.9884535985953655
HND,0.01,0.011471237699854187,0.005224947298399639,0.0028419522512439514,0.0063188779286596905,0.9656939510676439,0.9777892897882539
HTI,0.01,-0.0028220875248143825,-0.0034746915262624787,0.00029746858783151535,0.003304636132019406,0.905147060797783,0.9456862344137774
IND,0.01,0.12051956178194048,-0.9865745350073825,-0.38119508172121586,2.0276903078168416,0.9585965529853806,0.9593034563068266
IRN,0.01,0.47070819479104337,-0.05167407022893372,0.03644461479420289,0.004969050776152116,0.9636478311304421,0.8792189589432869
JAM,0.01,0.001868319316021903,0.0010135298281376507,0.0012658595963328024,0.0012573526041770157,0.7600179000607337,0.8080423950178998
JOR,0.01,0.026905857575476644,-0.022669758854562915,0.0018220133972356967,0.019601355676654608,0.9814623791169494,0.9849129050841936
KEN,0.01,0.10471654810938796,-0.005264803159717998,0.013188498844901956,-0.019911034841432678,0.9741348528904524,0.9534989432760153
KNA,0.01,2.2887879056983885e-07,-0.00025034053045764834,0.00019253687381835815,0.00027963524568010026,0.9801997938789584,0.9486248316855891
KOR,0.01,2.4464352983141033,-0.5405311173116863,-0.033462919871101594,0.9624048328760783,0.9719864327787142,0.969204707176002
KWT,0.01,-0.002195368458513292,-0.047133595075110786,0.025219997014393782,0.009527318263734352,0.9065263909514847,0.8558748550760503
LBY,0.01,0.021000074269050376,-0.020406408038245432,-0.004094640269708724,0.008507123542254528,0.8037242927230916,0.8450229830454105
LCA,0.01,1.0449505337496745e-05,-0.0010894696295924162,0.0004218782975968358,-0.00010459464581434098,0.9133891600464147,0.5047529272873323
LKA,0.01,-0.003656317533948102,-0.03261658516005285,0.011829677933319696,0.035421329534670254,0.9673882045681755,0.9793517258400624
LSO,0.01,0.00033949275752259754,-0.00035280280180411165,0.00022510521727441254,0.0007080481990154547,0.9195729415791736,0.9518221389605167
MAR,0.01,0.12788379448274242,-0.04232696318377372,0.006512670599999566,0.03368347448702875,0.9798198721348639,0.976627215725563
MDG,0.01,0.008394470443053616,-0.0022866410402440714,0.0007436638334428073,0.0019208828437150883,0.9846489341783974,0.9637866349955042
MDV,0.01,5.365890989547633e-05,-0.0027334906189280988,0.0008198427443617412,0.00047890839598525105,0.972584737094355,0.9254076782617069
MEX,0.01,0.5637948248359906,-0.14565588141556,0.171967138903217,-0.18221424032500405,0.9863170088657688,0.9716987849090293
MMR,0.01,0.035477154295952024,-0.01634737746899509,0.0025157585053181596,0.03502250045188102,0.9917435535401741,0.9929317043790835
MRT,0.01,0.0030679132161303265,-0.0025144154054665925,0.00093844700586308,0.0007101844536688822,0.8769427577265826,0.8839262002237575
MUS,0.01,0.00041994667590542064,-0.007110819805855682,0.003448564971161708,-0.0008658327453767381,0.9491053031679717,0.8909983471289301
MWI,0.01,0.009799121784342694,0.0019243081739412288,0.002230397967509413,-0.0014843601570654799,0.9617494615698247,0.8437538669245783
MYS,0.01,0.35113579456562244,-0.06231760980098937,0.06161628528270626,0.002527405257953395,0.9644591892890508,0.971531988059157
NER,0.01,0.02174970210993262,-0.00016242325876986315,0.0012957663376375454,-0.00018420760785721932,0.9220095804742439,0.8624153783062857
NGA,0.01,0.22485831912210402,-0.004547419673428121,0.05540120634674755,-0.03172887648191149,0.9778403669728545,0.7586225589199203
NPL,0.01,0.037720914265849295,-0.003621166364644433,0.0028451436746400748,0.0024930972593257186,0.971811524389942,0.8688825807350421
PAK,0.01,0.17557579664296907,0.007682426027615377,0.03801836474062076,-0.09715560940733929,0.99380282208503,0.956121598831212
PAN,0.01,0.020537342614877337,-0.03747449340240097,0.024294570591000514,-0.020724648925462347,0.9366193179020375,0.9071574082835622
PER,0.01,0.08731621686008004,-0.00035707453312053923,0.033398403077085005,0.01055747319868236,0.963553089178076,0.9681097290658767
PHL,0.01,0.09295680652790794,0.0723090724272063,0.06955178717907415,-0.03531519099295786,0.959398006183545,0.9396489866217904
PNG,0.01,0.011710673637461574,0.006573521571340336,-0.00021342623998023052,0.013508818551189693,0.9649836196873877,0.9790145661147331
PRY,0.01,0.01832075705761501,-0.023040005586450963,0.0009736223969253424,0.017410484009814705,0.9377991241086608,0.961113974012908
QAT,0.01,0.06990584482763126,-0.19743796590893734,0.04489865501783573,0.01224331666660124,0.9504785303279913,0.8890372638436776
RWA,0.01,0.006929761440808403,0.0009761748979325509,0.0012679952242857888,0.002070761561810574,0.9722505848715385,0.9605540485731718
SAU,0.01,0.7206586985673752,-0.029495322556589026,0.11840772295301631,-0.015157945739609425,0.9530571564051628,0.8532702469218875
SEN,0.01,0.015771182201029264,-0.006211115889245227,0.0004258420283914814,0.008147448925352662,0.9694612381833879,0.9780590729529928
SGP,0.01,0.10669374527137829,-0.20667733515475536,-0.015267262738041926,0.2630978348443164,0.9515621302693278,0.9724698664009795
SLB,0.01,0.00010366385956666886,-0.0007854811193096056,0.00022878872580805182,5.980783075978906e-05,0.9108074511980377,0.9217534363329805
SLV,0.01,0.0036708301614406733,-0.013269331532629108,0.0036197852384575605,0.0006236722931262597,0.9665800652070762,0.9625647926177084
SUR,0.01,0.00010664217170804175,-0.00014805248091441538,0.0006323770611354567,0.0008860879916431647,0.9477819550065105,0.9597414871192386
SWZ,0.01,0.0003647856503294267,-0.001693759690896051,-0.0004907015763815699,0.004018952989126255,0.9069963714256128,0.9424595188000291
SYC,0.01,8.575834495785514e-06,-0.0012237744448115174,0.00039745465912626886,-0.0001761993067556581,0.8890728834802775,0.910961739350523
SYR,0.01,0.04497887909072102,-0.011376027591177593,0.0008654722524807223,0.0007305878866357247,0.9166183190397189,0.860858572481147
TCD,0.01,0.01990661330038351,-0.001467804943634696,0.0018619989097084621,0.0009519145293535176,0.9496369131431474,0.85108771825627
TGO,0.01,0.0064417155800009646,-0.001504889900018128,0.0012792350771673722,-0.0002617050398768833,0.8458504459354605,0.892129046325129
THA,0.01,0.5416269711031778,-0.04258749772139252,-0.009479950872896412,0.19784840381669766,0.9837490132382105,0.9710469084689322
TON,0.01,6.319263405297906e-07,-1.840825253290606e-05,5.140302040842345e-05,3.778713497891239e-05,0.791981547581178,0.6921767710635203
TTO,0.01,0.0014241750837520125,-0.025420718517265316,0.006543011229255795,9.498896176046998e-05,0.9076201803107262,0.8902028938883573
TUN,0.01,0.03022976112902546,-0.008724440498098993,0.013200539184871792,-0.008983988973863365,0.9300716573643022,0.9493160715437937
TUR,0.01,0.7205311525942425,0.1274291806590353,-0.09563059325558516,0.6673536438885255,0.9841246170473856,0.9762885712825509
TZA,0.01,0.07941727955770453,0.007665264971379554,-0.0024190228729909216,0.02089613777242957,0.9736034128677,0.9512252482959154
URY,0.01,0.0025526384680580843,-0.020172537357793955,-0.003535836708859081,0.03695800939097989,0.9487718906468401,0.9638630176453108
USA,0.01,9.118939909983267,0.026209932237141204,1.7871326375441334,-2.275653607715536,0.9942431247590233,0.9659126202813242
VCT,0.01,1.2188457675166443e-06,-0.0004652291993952405,0.0001877509907361963,-2.9847690926624847e-05,0.9301341410718408,-0.2124202219403904
VUT,0.01,2.255809443399749e-05,-0.0005173148110614743,0.00016161383844928617,7.897727949137695e-06,0.9051847174976626,0.804809959335711
WSM,0.01,3.213690161383347e-06,-0.00015278753908462645,0.00017382666219223767,1.758584307458453e-05,0.9474322308358505,0.16940562847104854
ZAF,0.01,0.2734475254839032,-0.03105219545374534,0.0377913528728295,0.011006022155848519,0.9718182312236489,0.9545032622942605
ZMB,0.01,0.040171109690447376,-0.0011739955896937914,0.002125695112524995,0.003706495972287401,0.9416492820513546,0.9305915068956714
